Player Name,Team Name,Span,Matches,Innings,Balls Bowled,Overs,Runs,Wickets,Best Bowling in Innings,Maidens,Bowling Average,Economy Rate,Strike Rate,4,5
MR Marsh,DC,2023,9,8,121,20.1,170,12,4/27,1,14.16,8.42,10.08,1,0
M Markande,SRH,2023,10,10,228,38.0,300,12,4/15,0,25.0,7.89,19.0,1,0
MA Wood,LSG,2023,4,4,96,16.0,130,11,5/14,1,11.81,8.12,8.72,0,1
Naveen-ul-Haq,LSG,2023,8,7,168,28.0,219,11,4/38,0,19.9,7.82,15.27,1,0
AR Patel,DC,2023,14,13,282,47.0,338,11,2/13,0,30.72,7.19,25.63,0,0
SP Narine,KKR,2023,14,14,288,48.0,383,11,3/33,0,34.81,7.97,26.18,0,0
M Theekshana,CSK,2023,13,13,294,49.0,392,11,2/23,1,35.63,8.0,26.72,0,0
I Sharma,DC,2023,8,8,150,25.0,206,10,2/19,0,20.6,8.24,15.0,0,0
KV Sharma,RCB,2023,7,7,129,21.3,223,10,2/19,0,22.3,10.37,12.9,0,0
M Jansen,SRH,2023,8,8,162,27.0,267,10,2/16,1,26.7,9.88,16.2,0,0
Suyash Sharma,KKR,2023,11,11,234,39.0,321,10,3/30,0,32.1,8.23,23.4,0,0
Kuldeep Yadav,DC,2023,14,14,294,49.0,361,10,2/15,1,36.1,7.36,29.4,0,0
A Nortje,DC,2023,10,10,240,40.0,364,10,2/20,0,36.4,9.1,24.0,0,0
Sandeep Sharma,RR,2023,12,12,276,46.0,396,10,2/25,0,39.6,8.6,27.6,0,0
T Natarajan,SRH,2023,12,12,270,45.0,410,10,2/23,0,41.0,9.11,27.0,0,0
SM Curran,PBKS,2023,14,14,287,47.5,489,10,3/31,0,48.9,10.22,28.7,0,0
MM Ali,CSK,2023,15,11,156,26.0,195,9,4/26,0,21.66,7.5,17.33,1,0
Harpreet Brar,PBKS,2023,13,11,163,27.1,218,9,4/30,0,24.22,8.02,18.11,1,0
WD Parnell,RCB,2023,7,7,151,25.1,236,9,3/10,0,26.22,9.37,16.77,0,0
V Vyshak,RCB,2023,7,7,144,24.0,253,9,3/20,0,28.11,10.54,16.0,0,0
PW Hasaranga,RCB,2023,8,8,174,29.0,258,9,2/24,0,28.66,8.89,19.33,0,0
KK Ahmed,DC,2023,9,9,198,33.0,301,9,2/24,2,33.44,9.12,22.0,0,0
KH Pandya,LSG,2023,15,12,252,42.0,313,9,3/18,0,34.77,7.45,28.0,0,0
A Zampa,RR,2023,6,6,132,22.0,188,8,3/22,0,23.5,8.54,16.5,0,0
Avesh Khan,LSG,2023,9,9,174,29.0,283,8,3/25,0,35.37,9.75,21.75,0,0
RD Chahar,PBKS,2023,14,14,298,49.4,385,8,2/16,0,48.12,7.75,37.25,0,0
A Mishra,LSG,2023,7,7,114,19.0,149,7,2/21,0,21.28,7.84,16.28,0,0
AD Russell,KKR,2023,14,9,91,15.1,172,7,3/22,0,24.57,11.34,13.0,0,0
RP Meredith,MI,2023,5,5,118,19.4,207,7,2/33,0,29.57,10.52,16.85,0,0
SN Thakur,KKR,2023,11,9,126,21.0,220,7,2/23,0,31.42,10.47,18.0,0,0
AS Joseph,GT,2023,7,7,144,24.0,225,7,2/27,0,32.14,9.37,20.57,0,0
K Rabada,PBKS,2023,6,6,138,23.0,232,7,2/34,0,33.14,10.08,19.71,0,0
JB Little,GT,2023,10,10,204,34.0,294,7,2/25,0,42.0,8.64,29.14,0,0
Mukesh Kumar,DC,2023,10,10,186,31.0,326,7,2/30,0,46.57,10.51,26.57,0,0
MG Bracewell,RCB,2023,5,5,66,11.0,95,6,2/13,0,15.83,8.63,11.0,0,0
C Green,MI,2023,16,16,228,38.0,361,6,2/41,0,60.16,9.5,38.0,0,0
MP Stoinis,LSG,2023,15,5,65,10.5,100,5,2/20,0,20.0,9.23,13.0,0,0
VG Arora,KKR,2023,5,5,96,16.0,146,5,2/30,0,29.2,9.12,19.2,0,0
Harshit Rana,KKR,2023,6,6,102,17.0,147,5,2/33,0,29.4,8.64,20.4,0,0
Akash Singh,CSK,2023,6,6,114,19.0,188,5,2/40,0,37.6,9.89,22.8,0,0
Arshad Khan,MI,2023,6,6,85,14.1,190,5,3/39,0,38.0,13.41,17.0,0,0
Umran Malik,SRH,2023,8,8,120,20.0,217,5,2/32,0,43.4,10.85,24.0,0,0
K Kartikeya,MI,2023,8,8,156,26.0,227,5,2/37,0,45.4,8.73,31.2,0,0
Fazalhaq Farooqi,SRH,2023,4,4,80,13.2,117,4,2/41,0,29.25,8.77,20.0,0,0
JO Holder,RR,2023,8,8,171,28.3,284,4,2/29,0,71.0,9.96,42.75,0,0
RS Hangargekar,CSK,2023,2,2,36,6.0,60,3,3/36,0,20.0,10.0,12.0,0,0
AS Roy,KKR,2023,4,3,48,8.0,65,3,2/19,0,21.66,8.12,16.0,0,0
Yudhvir Singh,LSG,2023,3,3,48,8.0,70,3,2/19,0,23.33,8.75,16.0,0,0
NA Saini,RR,2023,2,2,36,6.0,74,3,3/40,0,24.66,12.33,12.0,0,0
N Rana,KKR,2023,14,6,53,8.5,75,3,2/17,0,25.0,8.49,17.66,0,0
JR Hazlewood,RCB,2023,3,3,54,9.0,76,3,2/15,0,25.33,8.44,18.0,0,0
MJ Santner,CSK,2023,3,3,72,12.0,81,3,2/28,0,27.0,6.75,24.0,0,0
C Sakariya,DC,2023,2,2,48,8.0,89,3,2/53,0,29.66,11.12,16.0,0,0
AS Tendulkar,MI,2023,4,4,59,9.5,92,3,1/9,0,30.66,9.35,19.66,0,0
GJ Maxwell,RCB,2023,14,7,62,10.2,94,3,1/3,0,31.33,9.09,20.66,0,0
DJ Willey,RCB,2023,4,4,90,15.0,105,3,2/16,1,35.0,7.0,30.0,0,0
Mohsin Khan,LSG,2023,5,4,60,10.0,107,3,1/24,0,35.66,10.7,20.0,0,0
K Gowtham,LSG,2023,7,6,96,16.0,118,3,1/10,0,39.33,7.37,32.0,0,0
Sikandar Raza,PBKS,2023,7,6,72,12.0,119,3,1/19,0,39.66,9.91,24.0,0,0
KM Asif,RR,2023,4,4,84,14.0,138,3,2/42,0,46.0,9.85,28.0,0,0
Washington Sundar,SRH,2023,7,7,106,17.4,146,3,3/28,0,48.66,8.26,35.33,0,0
HR Shokeen,MI,2023,8,8,114,19.0,187,3,2/34,0,62.33,9.84,38.0,0,0
HH Pandya,GT,2023,16,11,150,25.0,228,3,1/10,0,76.0,9.12,50.0,0,0
CJ Jordan,MI,2023,6,6,132,22.0,237,3,1/7,1,79.0,10.77,44.0,0,0
AU Rashid,SRH,2023,2,2,42,7.0,56,2,2/23,0,28.0,8.0,21.0,0,0
K Khejroliya,KKR,2023,2,2,26,4.2,64,2,2/44,0,32.0,14.76,13.0,0,0
K Yadav,RR,2023,2,2,42,7.0,68,2,1/18,0,34.0,9.71,21.0,0,0
TG Southee,KKR,2023,2,2,36,6.0,79,2,2/54,0,39.5,13.16,18.0,0,0
LS Livingstone,PBKS,2023,9,5,42,7.0,94,2,1/19,0,47.0,13.42,21.0,0,0
Lalit Yadav,DC,2023,6,4,78,13.0,118,2,1/29,0,59.0,9.07,39.0,0,0
Abhishek Sharma,SRH,2023,11,5,72,12.0,124,2,1/26,0,62.0,10.33,36.0,0,0
Yash Dayal,GT,2023,5,5,84,14.0,165,2,1/31,0,82.5,11.78,42.0,0,0
JC Archer,MI,2023,5,5,120,20.0,190,2,1/35,0,95.0,9.5,60.0,0,0
T Stubbs,MI,2023,2,1,12,2.0,14,1,1/14,0,14.0,7.0,12.0,0,0
RJW Topley,RCB,2023,1,1,12,2.0,14,1,1/14,0,14.0,7.0,12.0,0,0
R Powell,DC,2023,3,1,12,2.0,18,1,1/18,0,18.0,9.0,12.0,0,0
P Dubey,DC,2023,1,1,18,3.0,19,1,1/19,0,19.0,6.33,18.0,0,0
GD Phillips,SRH,2023,5,2,18,3.0,20,1,1/10,0,20.0,6.66,18.0,0,0
